Sigle/Acronyme,Définition,Note
ASH,Accueil et Scolarisation des élèves Handicapés.,[cite: 191, 192]
ASI,ASsistant Ingénieur.,[cite: 193, 194]
ATEE,Adjoint Technique des Établissements d'Enseignement.,[cite: 195, 196]
ATOSS,"Administratifs, Techniciens, Ouvriers, Sociaux et de Santé (personnels).",[cite: 197, 198]
ATRF,Adjoint Technique Recherche et Formation.,[cite: 199, 200]
ATRIUM,Environnement numérique éducatif (ENE) de la région.,[cite: 201, 202]
ATSEM,Agent Technique Spécialisé des Écoles Maternelles.,[cite: 203, 204]
ATSS,"Personnels Administratifs, Techniques, de Santé et Sociaux.",[cite: 205, 206, 207]
AVS,Assistant de Vie Scolaire.,Remplacé par AESH en 2014 [cite: 208, 211, 212]
BA,Bulletin Académique.,[cite: 219, 220]
BAS,Bulletin Académique Spécial.,[cite: 216, 217]
B21,Brevet Informatique et Internet.,[cite: 215, 218]
BAFD,Brevet d'Aptitude aux Fonctions de Directeur.,[cite: 227, 239]
BAN,Base Académique des Nomenclatures.,[cite: 242, 244, 245]
BAPAAT,Brevet d'Aptitude Professionnelle d'Assistant Animateur Technicien.,[cite: 246, 250, 251, 252]
BCE,Base Centrale des Établissements.,[cite: 228, 229]
BCES,Budget Coordonné de l'Enseignement Supérieur.,[cite: 230, 231]
BCN,Base Centrale des Nomenclatures.,[cite: 232, 233]
BCOMJS,Bureau de la COMmunication Jeunesse et Sports.,[cite: 234, 235]
BCRD,Budget Civil de Recherche et Développement.,[cite: 236, 237]
BD 04,Bulletin Départemental du 04.,[cite: 238, 240]
BE 1D,Base Élèves 1er Degré.,Devient ONDE en 2017 [cite: 261, 262, 267]
BEP,Brevet d'Études Professionnelles.,[cite: 269, 270]
BFC,Bourgogne-Franche-Comté.,[cite: 271, 290]
BIPP,Base Indicateur des Personnels du Privé.,[cite: 291, 292]
BMA,Brevet des Métiers d'Art.,[cite: 272, 273]
BO,Bulletin Officiel / Business Objects.,[cite: 278, 279, 280]
BOEN,Bulletin Officiel de l'Education Nationale.,[cite: 283, 284, 285]
BP,Brevet Professionnel.,[cite: 286, 287]
BPJEPS,"Brevet Professionnel de la Jeunesse, de l'Éducation Populaire et du Sport.",[cite: 294, 295]
BPRD,Bureau du Pôle de Recherche et Développement.,Terme officieux inspiré de Hellboy [cite: 296, 297, 298]
BTS,Brevet de Technicien Supérieur.,[cite: 311, 312]
CA,Conseil d'Administration.,[cite: 326, 327]
CAFEP,Certificat d'Aptitude aux Fonctions d'Enseignement dans les établissements Privés sous contrat du 2nd degré.,[cite: 336, 337, 338]
CAFIPEMF,Certificat d'Aptitude aux Fonctions d'Instituteur ou de Professeur des Écoles Maître Formateur.,[cite: 318, 319]
CANOPÉ,Réseau de création et l'accompagnement pédagogiques.,Remplace SCEREN [cite: 342, 343, 344, 345]
CAP,Certificat d'Aptitude Professionnelle.,[cite: 346, 347]
CAPA,Commission Administrative Paritaire Académique.,[cite: 351, 352]
CAPES,Certificat d'Aptitude au Professorat de l'Enseignement du Second degré.,[cite: 361, 362]
CASNAV,Centre Académique de Scolarisation des Nouveaux Arrivants et des enfants du Voyage.,[cite: 371, 372, 373]
CDD,Contrat à Durée Déterminée.,[cite: 387, 388]
CDI,Contrat à Durée Indéterminée.,[cite: 393, 406]
CE,Chef d'Etablissement.,[cite: 407, 408]
CFA,Centre de Formation d'Apprentis.,[cite: 401, 402]
CHSCT,"Comité d'Hygiène, de Sécurité et des Conditions de Travail.",[cite: 421, 422]
CIO,Centre d'Information et d'Orientation.,[cite: 429, 430, 431]
CLOÉ,CLOud Education.,Service cloud ministériel [cite: 460, 461, 462]
CMS,Content Management System.,[cite: 471, 472]
CNED,Centre National d'Enseignement à Distance.,[cite: 480, 481]
COLIBRIS,Dématérialisation des échanges entre agents et gestionnaires.,Créé en 2021 [cite: 486, 487, 488, 489]
CPGE,Classe Préparatoire aux Grandes Écoles.,[cite: 526, 527, 528]
CROUS,Centre Régional des Oeuvres Universitaires et Scolaires.,[cite: 569, 570]
DANE,Délégation Académique au Numérique Éducatif.,[cite: 637, 638]
DASEN,Directeur Académique des Services de l'Éducation Nationale.,[cite: 654, 655]
DNB,Diplôme National du Brevet.,[cite: 775, 776]
DRH,Direction des Ressources Humaines.,[cite: 822, 823]
DSDEN,Direction des Services Départementaux de l'Éducation Nationale.,[cite: 836, 837]
DSI,Direction des Systèmes d'Information.,[cite: 842, 843]
ENT,Espace Numérique de Travail.,[cite: 934, 935]
EPLE,Établissement Public Local d'Enseignement.,[cite: 953, 954]
EPS,Education Physique et Sportive.,[cite: 970, 971]
GAIA,Gestion Académique Informatisée des Actes de formation.,[cite: 1056, 1057]
GRETA,Groupement d'ÉTAblissements publics.,[cite: 1097, 1098]
I-PROF,Bouquet de Service Internet à destination des enseignants.,[cite: 1126, 1127]
NUMEN,NUMéro Éducation Nationale.,Identifiant unique personnel [cite: 1391, 1392, 1393]
ONDE,Outil Numérique pour la Direction d'École.,Remplace BE1D [cite: 1399, 1400, 267]
PACA,Provence-Alpes-Côte d'Azur.,[cite: 1425, 1426]
RGPD,Règlement Général sur la Protection des Données.,Entrée en application le 25 mai 2018 [cite: 1654, 1655, 1657]
ZEP,Zone d'Education Prioritaire.,[cite: 2038, 2039]
